index,precursor_mz,adduct,MS2,2h_N1,2h_N2,4h_N3,4h_N4,8h_N5,0h_N5,2h_N1.1,2h_N2.1,4h_N3.1,4h_N4.1,8h_N5.1,0h_N5.1,0h_N6,0h_N6.1
ft-00080,269.24844,[M-H]-,"[[229.15459, 54], [269.24881, 378]]",11169.11991,10589.98895,10902.26896,8487.414406,9031.643938,,1325.720614,1230.304974,2106.437671,69.55142075,1444.169385,,11240.0078,1851.648535
ft-00081,269.24857,[M-H]-,"[[269.24527, 66]]",35005.47608,22644.48523,22774.53576,20362.96322,20637.19423,,7274.804236,4193.300914,5823.359341,730.9182927,1351.413964,,26638.27317,3650.068999
ft-00082,279.23334,[M-H]-,"[[279.23459, 48]]",76052.81628,48237.20048,38349.56938,42218.70341,49562.9515,,9423.687407,12590.64542,17494.49752,930.8252463,4711.2624,,45291.78077,5820.492309
ft-00083,281.24829,[M-H]-,"[[154.06323, 44], [281.24899, 1334]]",788414.0751,460957.7092,434241.8084,417389.1892,413335.3209,,422636.108,92858.95634,165922.9702,4445.361616,30653.01321,,574820.9294,56515.09108
ft-00084,283.26416,[M-H]-,"[[283.26501, 252]]",74649.40528,63942.15983,65028.31051,62330.20566,62861.4272,,23391.25689,7473.667556,10249.79837,4596.54688,3135.113797,,73874.12214,5434.742642
ft-00085,283.26453,[M-H]-,"[[283.26633, 56]]",104159.9065,85648.36641,87181.81421,129801.1128,93064.2853,,29477.14585,14386.90575,11269.52894,20836.33399,23359.1791,,131450.7001,49315.02189
ft-00086,283.26474,[M-H]-,"[[207.05623, 72], [215.33171, 52], [250.55998, 46], [265.24472, 66], [266.25537, 74], [283.20444, 76], [283.26389, 17512], [283.29416, 130], [283.31061, 94], [283.33109, 106], [283.36066, 94], [283.38504, 70], [283.40103, 82], [283.4805, 42], [283.62738, 152], [283.7142, 44], [284.20703, 42], [284.26776, 618], [286.13535, 54]]",12492062.55,9990121.255,9640378.472,8473254.444,9155272.433,,4714620.197,822843.8116,2091276.022,195206.3433,1250805.448,,11248906.79,383577.2629
ft-00087,283.26483,[M-H]-,"[[283.26456, 204]]",100973.1834,88903.37939,87838.0852,98066.62516,109400.7193,,12241.04031,7223.553572,14572.73002,3982.725072,8790.750786,,80133.03644,23328.09658
ft-00088,283.26492,[M-H]-,"[[283.26468, 96]]",119495.2202,118273.0639,128377.2909,109408.3171,107763.5062,,19335.08704,17687.37389,7578.349256,12191.01557,17540.93573,,124417.7686,18699.28812
ft-00089,309.27997,[M-H]-,"[[309.24744, 116], [309.27951, 250], [311.1662, 56]]",20100.34084,13996.45738,13338.54715,14556.61394,10975.34898,,5458.306167,2743.784168,5602.423196,625.0623304,322.1483762,,18062.69973,2318.35024
ft-00090,311.29562,[M-H]-,"[[311.16873, 48], [311.29703, 924]]",204819.9673,128827.629,127912.2324,104362.3118,118853.5124,,112245.8841,14055.93166,45685.98223,1657.656904,14365.22984,,154257.82,5036.726992
ft-00091,337.31201,[M-H]-,"[[337.3136, 100]]",24418.41472,22121.40097,43612.66215,212288.296,41388.32352,,4485.166855,3281.073905,25701.94531,601.2287218,15038.18471,,84512.88475,43046.66805
ft-00092,339.32755,[M-H]-,"[[339.31949, 72]]",66029.84716,52404.71458,52275.2047,41009.52631,47990.98894,,7058.215667,8432.132695,18400.06005,3897.886887,7662.64637,,61199.00228,2760.892728
ft-00093,353.17477,[M-H]-,"[[240.03807, 42], [353.12927, 64], [353.14587, 62], [353.17499, 790], [353.2052, 54], [354.23532, 74]]",22012.35172,16687.93627,23799.62002,17424.46209,11621.63152,,21003.78398,12169.82815,23458.97267,876.378908,10272.79224,,53473.79603,60196.94323
ft-00094,353.34314,[M-H]-,"[[288.87253, 102], [353.34744, 132], [353.49149, 70]]",16903.91834,16942.12975,16553.07643,13725.37747,15411.89333,,2524.331946,3980.30724,7162.857185,1399.699975,1415.560634,,19179.31955,971.0848906
ft-00095,367.35846,[M-H]-,"[[367.35864, 360]]",83372.04195,99658.41294,99383.71994,79955.82306,85267.64848,,14262.53143,26203.77045,38808.24079,2641.115246,22085.99573,,119284.4831,6245.066891
ft-00096,381.37366,[M-H]-,"[[381.37332, 116]]",17128.53552,26209.30267,23347.71134,17880.34484,20948.07378,,1521.779008,6025.207628,9550.444422,197.6976427,6502.260975,,26812.67738,2984.16335
ft-00097,395.39014,[M-H]-,"[[395.38913, 480]]",42384.37216,55865.10853,52294.61519,46009.24944,46391.44319,,5394.248363,17172.76248,20120.18671,253.2066298,8900.305032,,67243.73105,7982.970202
ft-00098,423.42215,[M-H]-,"[[423.41916, 282]]",25820.32873,35378.30992,35453.8412,28418.00928,30682.99122,,3594.19244,12962.84496,14365.05289,1845.233108,2897.579836,,43808.77227,6501.223059
